"site_id","alpha","gamma","step_size","total_distance","job_id"
107,5,0.8,5,50000,1
40,5,0.8,5,50000,2
90,5,0.8,5,50000,3
58,5,0.8,5,50000,4
107,10,0.8,5,50000,5
40,10,0.8,5,50000,6
90,10,0.8,5,50000,7
58,10,0.8,5,50000,8
107,15,0.8,5,50000,9
40,15,0.8,5,50000,10
90,15,0.8,5,50000,11
58,15,0.8,5,50000,12
107,5,0.9,5,50000,13
40,5,0.9,5,50000,14
90,5,0.9,5,50000,15
58,5,0.9,5,50000,16
107,10,0.9,5,50000,17
40,10,0.9,5,50000,18
90,10,0.9,5,50000,19
58,10,0.9,5,50000,20
107,15,0.9,5,50000,21
40,15,0.9,5,50000,22
90,15,0.9,5,50000,23
58,15,0.9,5,50000,24
107,5,0.8,10,50000,25
40,5,0.8,10,50000,26
90,5,0.8,10,50000,27
58,5,0.8,10,50000,28
107,10,0.8,10,50000,29
40,10,0.8,10,50000,30
90,10,0.8,10,50000,31
58,10,0.8,10,50000,32
107,15,0.8,10,50000,33
40,15,0.8,10,50000,34
90,15,0.8,10,50000,35
58,15,0.8,10,50000,36
107,5,0.9,10,50000,37
40,5,0.9,10,50000,38
90,5,0.9,10,50000,39
58,5,0.9,10,50000,40
107,10,0.9,10,50000,41
40,10,0.9,10,50000,42
90,10,0.9,10,50000,43
58,10,0.9,10,50000,44
107,15,0.9,10,50000,45
40,15,0.9,10,50000,46
90,15,0.9,10,50000,47
58,15,0.9,10,50000,48
107,5,0.8,20,50000,49
40,5,0.8,20,50000,50
90,5,0.8,20,50000,51
58,5,0.8,20,50000,52
107,10,0.8,20,50000,53
40,10,0.8,20,50000,54
90,10,0.8,20,50000,55
58,10,0.8,20,50000,56
107,15,0.8,20,50000,57
40,15,0.8,20,50000,58
90,15,0.8,20,50000,59
58,15,0.8,20,50000,60
107,5,0.9,20,50000,61
40,5,0.9,20,50000,62
90,5,0.9,20,50000,63
58,5,0.9,20,50000,64
107,10,0.9,20,50000,65
40,10,0.9,20,50000,66
90,10,0.9,20,50000,67
58,10,0.9,20,50000,68
107,15,0.9,20,50000,69
40,15,0.9,20,50000,70
90,15,0.9,20,50000,71
58,15,0.9,20,50000,72
107,5,0.8,5,1e+05,73
40,5,0.8,5,1e+05,74
90,5,0.8,5,1e+05,75
58,5,0.8,5,1e+05,76
107,10,0.8,5,1e+05,77
40,10,0.8,5,1e+05,78
90,10,0.8,5,1e+05,79
58,10,0.8,5,1e+05,80
107,15,0.8,5,1e+05,81
40,15,0.8,5,1e+05,82
90,15,0.8,5,1e+05,83
58,15,0.8,5,1e+05,84
107,5,0.9,5,1e+05,85
40,5,0.9,5,1e+05,86
90,5,0.9,5,1e+05,87
58,5,0.9,5,1e+05,88
107,10,0.9,5,1e+05,89
40,10,0.9,5,1e+05,90
90,10,0.9,5,1e+05,91
58,10,0.9,5,1e+05,92
107,15,0.9,5,1e+05,93
40,15,0.9,5,1e+05,94
90,15,0.9,5,1e+05,95
58,15,0.9,5,1e+05,96
107,5,0.8,10,1e+05,97
40,5,0.8,10,1e+05,98
90,5,0.8,10,1e+05,99
58,5,0.8,10,1e+05,100
107,10,0.8,10,1e+05,101
40,10,0.8,10,1e+05,102
90,10,0.8,10,1e+05,103
58,10,0.8,10,1e+05,104
107,15,0.8,10,1e+05,105
40,15,0.8,10,1e+05,106
90,15,0.8,10,1e+05,107
58,15,0.8,10,1e+05,108
107,5,0.9,10,1e+05,109
40,5,0.9,10,1e+05,110
90,5,0.9,10,1e+05,111
58,5,0.9,10,1e+05,112
107,10,0.9,10,1e+05,113
40,10,0.9,10,1e+05,114
90,10,0.9,10,1e+05,115
58,10,0.9,10,1e+05,116
107,15,0.9,10,1e+05,117
40,15,0.9,10,1e+05,118
90,15,0.9,10,1e+05,119
58,15,0.9,10,1e+05,120
107,5,0.8,20,1e+05,121
40,5,0.8,20,1e+05,122
90,5,0.8,20,1e+05,123
58,5,0.8,20,1e+05,124
107,10,0.8,20,1e+05,125
40,10,0.8,20,1e+05,126
90,10,0.8,20,1e+05,127
58,10,0.8,20,1e+05,128
107,15,0.8,20,1e+05,129
40,15,0.8,20,1e+05,130
90,15,0.8,20,1e+05,131
58,15,0.8,20,1e+05,132
107,5,0.9,20,1e+05,133
40,5,0.9,20,1e+05,134
90,5,0.9,20,1e+05,135
58,5,0.9,20,1e+05,136
107,10,0.9,20,1e+05,137
40,10,0.9,20,1e+05,138
90,10,0.9,20,1e+05,139
58,10,0.9,20,1e+05,140
107,15,0.9,20,1e+05,141
40,15,0.9,20,1e+05,142
90,15,0.9,20,1e+05,143
58,15,0.9,20,1e+05,144
