"origin","target","probability","alpha","gamma","max_steps"
"107","58",0,5,0.8,10000
"107","33",0,5,0.8,10000
"107","60",0,5,0.8,10000
"107","113",0,5,0.8,10000
"107","81",0,5,0.8,10000
"107","104",0,5,0.8,10000
"107","120",0,5,0.8,10000
"107","117",0,5,0.8,10000
"107","51",0,5,0.8,10000
"107","119",0,5,0.8,10000
"107","20",0,5,0.8,10000
"107","87",0,5,0.8,10000
"107","3",0,5,0.8,10000
"107","2",0,5,0.8,10000
"107","92",0,5,0.8,10000
"107","96",0,5,0.8,10000
"107","108",0,5,0.8,10000
"107","31",0,5,0.8,10000
"107","110",0,5,0.8,10000
"107","24",0,5,0.8,10000
"107","36",0,5,0.8,10000
"107","26",0,5,0.8,10000
"107","106",0,5,0.8,10000
"107","111",0,5,0.8,10000
"107","115",0,5,0.8,10000
"107","91",0,5,0.8,10000
"107","116",0,5,0.8,10000
"107","16",0,5,0.8,10000
"107","5",0,5,0.8,10000
"107","11",0,5,0.8,10000
"107","18",0,5,0.8,10000
"107","102",0,5,0.8,10000
"107","95",0,5,0.8,10000
"107","21",0,5,0.8,10000
"107","54",0,5,0.8,10000
"107","59",0,5,0.8,10000
"107","118",0,5,0.8,10000
"107","83",0,5,0.8,10000
"107","82",0,5,0.8,10000
"107","85",0,5,0.8,10000
"107","84",0,5,0.8,10000
"107","90",0,5,0.8,10000
"107","19",0,5,0.8,10000
"107","10",0,5,0.8,10000
"107","98",0,5,0.8,10000
"107","105",0,5,0.8,10000
"107","41",0,5,0.8,10000
"107","23",0,5,0.8,10000
"107","103",0,5,0.8,10000
"107","34",0,5,0.8,10000
"107","112",0,5,0.8,10000
"107","38",0,5,0.8,10000
"107","15",0,5,0.8,10000
"107","27",0,5,0.8,10000
"107","40",0,5,0.8,10000
"107","30",0,5,0.8,10000
"107","22",0,5,0.8,10000
"107","32",0,5,0.8,10000
"107","55",0,5,0.8,10000
